,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
307,"Love, Chunibyo & Other Delusions - Heart Throb -","Comedy, Drama, Romance, Slice of Life",Kyoto Animation,12,2014-01,Tv,74.0,AniList
308,Delicious in Dungeon,"Adventure, Comedy, Fantasy",TRIGGER,24,2024-01,Tv,85.0,AniList
309,A Whisker Away,"Drama, Fantasy, Romance",Studio Colorido,1,2020-06,Movie,72.0,AniList
310,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"Action, Adventure, Drama, Fantasy, Mystery, Romance",SILVER LINK.,12,2021-10,Tv,72.0,AniList
311,Blue Exorcist: Kyoto Saga,"Action, Fantasy, Supernatural",A-1 Pictures,12,2017-01,Tv,72.0,AniList
312,From the New World,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",Aniplex,25,2012-09,Tv,80.0,AniList
313,Kuroko's Basketball 2,"Comedy, Sports",Production I.G,25,2013-10,Tv,80.0,AniList
314,Dr. STONE New World,"Action, Adventure, Comedy, Sci-Fi",Toho,11,2023-04,Tv,81.0,AniList
315,Kiki's Delivery Service,"Adventure, Drama, Fantasy, Slice of Life",Studio Ghibli,1,1989-07,Movie,81.0,AniList
316,Ponyo,"Adventure, Fantasy",Studio Ghibli,1,2008-07,Movie,79.0,AniList
317,Snow White with the Red Hair,"Drama, Fantasy, Romance",bones,12,2015-07,Tv,76.0,AniList
318,BLEACH: Thousand-Year Blood War,"Action, Adventure, Supernatural",Studio Pierrot,13,2022-10,Tv,88.0,AniList
319,When They Cry,"Horror, Mystery, Psychological, Supernatural, Thriller",Studio DEEN,26,2006-04,Tv,75.0,AniList
320,Saekano: How to Raise a Boring Girlfriend,"Comedy, Romance, Slice of Life",A-1 Pictures,13,2015-01,Tv,73.0,AniList
321,Food Wars! The Fourth Plate,"Comedy, Ecchi",J.C.STAFF,12,2019-10,Tv,76.0,AniList
322,Hellsing Ultimate,"Action, Horror, Supernatural",MADHOUSE,10,2006-02,Ova,81.0,AniList
323,Vivy -Fluorite Eye's Song-,"Action, Drama, Music, Sci-Fi, Thriller",WIT STUDIO,13,2021-04,Tv,82.0,AniList
324,The Girl Who Leapt Through Time,"Drama, Romance, Sci-Fi",MADHOUSE,1,2006-07,Movie,78.0,AniList
325,K,"Action, Mystery, Supernatural",Starchild Records,13,2012-10,Tv,71.0,AniList
326,Monogatari Series Second Season,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",Shaft,26,2013-07,Tv,88.0,AniList
327,Grimgar of Fantasy and Ash,"Action, Adventure, Drama, Fantasy",A-1 Pictures,12,2016-01,Tv,74.0,AniList
328,JoJo's Bizarre Adventure: STONE OCEAN,"Action, Adventure, Drama, Supernatural",Warner Bros. Japan,12,2021-12,Ona,80.0,AniList
329,Darker than Black,"Action, Mystery, Sci-Fi",bones,25,2007-04,Tv,77.0,AniList
330,Food Wars! The Third Plate: Totsuki Train Arc,"Comedy, Ecchi",J.C.STAFF,12,2018-04,Tv,77.0,AniList
331,High School DxD BorN,"Action, Comedy, Ecchi, Fantasy, Romance",TNK,12,2015-04,Tv,70.0,AniList
332,INUYASHIKI LAST HERO,"Action, Drama, Psychological, Sci-Fi",MAPPA,11,2017-10,Tv,74.0,AniList
333,GAMERS!,"Comedy, Drama, Romance, Slice of Life",PINE JAM,12,2017-07,Tv,65.0,AniList
334,Himouto! Umaru-chan,"Comedy, Slice of Life",Doga Kobo,12,2015-07,Tv,67.0,AniList
335,Suzume,"Adventure, Fantasy, Mystery, Supernatural",CoMix Wave,1,2022-11,Movie,82.0,AniList
336,Wise Man’s Grandchild,"Action, Comedy, Fantasy, Romance",SILVER LINK.,12,2019-04,Tv,64.0,AniList
337,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","Action, Adventure, Comedy, Fantasy, Slice of Life",SILVER LINK.,12,2020-01,Tv,74.0,AniList
338,Darwin's Game,"Action, Mystery, Sci-Fi, Thriller",Nexus,11,2020-01,Tv,70.0,AniList
339,My Hero Academia: Heroes Rising,"Action, Sci-Fi",bones,1,2019-12,Movie,78.0,AniList
340,86 EIGHTY-SIX Part 2,"Action, Drama, Mecha, Sci-Fi",A-1 Pictures,12,2021-10,Tv,86.0,AniList
341,Dorohedoro,"Action, Adventure, Comedy, Fantasy, Horror, Mystery",MAPPA,12,2020-01,Tv,79.0,AniList
342,Fruits Basket The Final Season,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",TMS Entertainment,13,2021-04,Tv,89.0,AniList
343,The Seven Deadly Sins: Signs of A Holy War,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",A-1 Pictures,4,2016-08,Tv,67.0,AniList
