,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
1306,The Master of Ragnarök & Blesser of Einherjar,"Adventure, Ecchi, Fantasy, Romance",EMT Squared,12,2018-07,Tv,52.0,AniList
1307,Children of the Sea,"Drama, Mystery, Supernatural",Studio 4°C,1,2019-06,Movie,72.0,AniList
1308,Irina: The Vampire Cosmonaut,"Drama, Romance, Sci-Fi, Supernatural",Arvo Animation,12,2021-10,Tv,72.0,AniList
1309,ACCA: 13-Territory Inspection Dept.,"Drama, Mystery, Slice of Life",MADHOUSE,12,2017-01,Tv,75.0,AniList
1310,The Seven Deadly Sins OVA,"Action, Adventure, Fantasy",A-1 Pictures,2,2015-06,Ova,72.0,AniList
1311,Yu☆Gi☆Oh!,"Action, Comedy, Fantasy",Toei Animation,27,1998-04,Tv,69.0,AniList
1312,"The Night is Short, Walk on Girl","Comedy, Romance",Science SARU,1,2017-04,Movie,81.0,AniList
1313,Plastic Elder Sister,"Comedy, Ecchi",TYO Animations,12,2011-05,Ona,68.0,AniList
1314,The Demon Sword Master of Excalibur Academy,"Fantasy, Romance",Passione,12,2023-09,Ona,61.0,AniList
1315,Summer Ghost,"Drama, Supernatural",FLAT STUDIO,1,2021-11,Movie,78.0,AniList
1316,Shakugan no Shana: Season II,"Action, Comedy, Drama, Fantasy, Romance",J.C.STAFF,24,2007-10,Tv,72.0,AniList
1317,Puella Magi Madoka Magica the Movie Part II: Eternal,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",Aniplex,1,2012-10,Movie,81.0,AniList
1318,Hunter x Hunter: The Last Mission,"Action, Adventure, Fantasy",MADHOUSE,1,2013-12,Movie,70.0,AniList
1319,Heaven's Lost Property: Forte,"Comedy, Ecchi, Romance, Sci-Fi, Slice of Life, Supernatural",AIC A.S.T.A.,12,2010-10,Tv,70.0,AniList
1320,Baki: The Great Raitai Tournament Saga,"Action, Sports",TMS Entertainment,13,2020-06,Ona,75.0,AniList
1321,Naruto the Movie: Ninja Clash in the Land of Snow,"Action, Adventure, Comedy, Drama, Supernatural",Studio Pierrot,1,2004-08,Movie,67.0,AniList
1322,SHOSHIMIN: How to Become Ordinary,"Mystery, Slice of Life",TV Asahi,10,2024-07,Tv,73.0,AniList
1323,Unnamed Memory,"Adventure, Fantasy, Romance",ENGI,12,2024-04,Tv,66.0,AniList
1324,Mirai,"Adventure, Comedy, Drama, Fantasy, Slice of Life",Studio Chizu,1,2018-07,Movie,71.0,AniList
1325,Air,"Drama, Romance, Slice of Life, Supernatural",Kyoto Animation,13,2005-01,Tv,68.0,AniList
1326,In Another World With My Smartphone 2,"Adventure, Comedy, Fantasy, Romance",J.C.STAFF,12,2023-04,Tv,62.0,AniList
1327,The Dawn of the Witch,"Action, Adventure, Comedy, Ecchi, Fantasy",Tezuka Productions,12,2022-04,Tv,62.0,AniList
1328,Space Patrol Luluco,"Action, Adventure, Comedy, Romance, Sci-Fi",TRIGGER,13,2016-04,Tv Short,73.0,AniList
1329,Good Luck Girl!,"Adventure, Comedy, Supernatural",Sunrise,13,2012-07,Tv,74.0,AniList
1330,Toradora!: Bento Battle,"Comedy, Romance, Slice of Life",J.C.STAFF,1,2011-12,Ova,72.0,AniList
1331,Date A Live II: Kurumi Star Festival,"Fantasy, Romance, Slice of Life",AIC Plus+,1,2014-12,Ova,76.0,AniList
1332,Dragon Ball Z Kai: The Final Chapters,"Action, Adventure, Comedy",Toei Animation,69,2014-04,Tv,75.0,AniList
1333,Natsume's Book of Friends Season 2,"Drama, Fantasy, Slice of Life, Supernatural",Aniplex,13,2009-01,Tv,83.0,AniList
1334,2.5 Dimensional Seduction,"Comedy, Ecchi, Romance, Slice of Life",J.C.STAFF,24,2024-07,Tv,72.0,AniList
1335,The Devil is a Part-Timer! Season 2 Part 2,"Adventure, Comedy, Fantasy, Romance, Slice of Life",Studio 3Hz,12,2023-07,Tv,66.0,AniList
1336,InuYasha: The Final Act,"Action, Adventure, Comedy, Fantasy, Romance",Sunrise,26,2009-10,Tv,80.0,AniList
1337,Squid Girl,"Comedy, Slice of Life",TV Tokyo,12,2010-10,Tv,72.0,AniList
1338,Bungo Stray Dogs 2: Walking Alone,"Action, Comedy, Mystery, Supernatural",bones,1,2017-08,Ova,76.0,AniList
1339,Mirai Nikki OVA,"Action, Supernatural",Asread,1,2010-12,Ova,65.0,AniList
1340,Comic Girls,"Comedy, Slice of Life",Nexus,12,2018-04,Tv,72.0,AniList
1341,Kono Oto Tomare!: Sounds of Life Season 2,"Drama, Music, Romance, Slice of Life",Platinum Vision,13,2019-10,Tv,83.0,AniList
1342,Kingdom,"Action, Drama",Studio Pierrot,38,2012-06,Tv,74.0,AniList
1343,AMNESIA,"Fantasy, Mystery, Romance",Brain's Base,12,2013-01,Tv,53.0,AniList
1344,SSSS.DYNAZENON,"Action, Mecha, Romance, Sci-Fi",TRIGGER,12,2021-04,Tv,74.0,AniList
1345,Vampire Knight: Guilty,"Drama, Mystery, Romance, Supernatural",Aniplex,13,2008-10,Tv,64.0,AniList
1346,The Place Promised in Our Early Days,"Drama, Romance, Sci-Fi",ADV Films,1,2004-11,Movie,68.0,AniList
1347,Gintama: THE VERY FINAL,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,1,2021-01,Movie,91.0,AniList
1348,ChäoS;HEAd,"Mystery, Psychological, Sci-Fi, Supernatural",MADHOUSE,12,2008-10,Tv,56.0,AniList
1349,Black Butler: Book of the Atlantic,"Action, Comedy, Fantasy, Mystery, Supernatural",A-1 Pictures,1,2017-01,Movie,80.0,AniList
1350,FAIRY TAIL 100 YEARS QUEST,"Action, Adventure, Comedy, Fantasy",J.C.STAFF,25,2024-07,Tv,76.0,AniList
1351,Cross Ange: Rondo of Angel and Dragon,"Action, Ecchi, Mecha, Romance, Sci-Fi",Sunrise,25,2014-10,Tv,69.0,AniList
1352,Ranking of Kings: The Treasure Chest of Courage,"Action, Adventure, Drama, Fantasy",WIT STUDIO,10,2023-04,Tv,74.0,AniList
1353,Qualidea Code,"Action, Fantasy, Supernatural",A-1 Pictures,12,2016-07,Tv,61.0,AniList
1354,HANEBADO!,"Drama, Slice of Life, Sports",LIDENFILMS,13,2018-07,Tv,66.0,AniList
1355,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Is It Wrong to Expect a Hot Spring in a Dungeon?,"Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,1,2016-12,Ova,67.0,AniList
1356,Berserk: The Golden Age Arc III - The Advent,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",Horipro,1,2013-02,Movie,79.0,AniList
1357,The Lost Village,"Comedy, Drama, Horror, Mystery, Supernatural",diomedéa,12,2016-04,Tv,50.0,AniList
1358,KENGAN ASHURA Part I,"Action, Sports",Larx Entertainment,12,2019-07,Ona,72.0,AniList
1359,Ascendance of a Bookworm Season 3,"Drama, Fantasy, Slice of Life",Ajiado,10,2022-04,Tv,79.0,AniList
1360,Kanon (2006),"Drama, Romance, Slice of Life, Supernatural",Kyoto Animation,24,2006-10,Tv,76.0,AniList
1361,Blue Literature Series,"Drama, Psychological, Thriller",MADHOUSE,12,2009-10,Tv,73.0,AniList
1362,Trinity Seven: Eternal Library & Alchemic Girl,"Action, Comedy, Ecchi, Fantasy, Romance",Seven Arcs,1,2017-02,Movie,69.0,AniList
1363,Nura: Rise of the Yokai Clan,"Action, Supernatural",Studio DEEN,24,2010-07,Tv,73.0,AniList
1364,The Eccentric Family,"Comedy, Drama, Fantasy, Slice of Life, Supernatural",Bandai Visual,13,2013-07,Tv,77.0,AniList
1365,Pretty Boy Detective Club,"Comedy, Mystery, Sci-Fi",Shaft,12,2021-04,Tv,69.0,AniList
1366,Dragon Ball DAIMA,"Action, Adventure",Toei Animation,20,2024-10,Tv,76.0,AniList
1367,To Every You I’ve Loved Before,"Romance, Sci-Fi",BAKKEN RECORD,1,2022-10,Movie,74.0,AniList
1368,Scissor Seven,"Action, Comedy, Drama, Mystery, Romance",Sharefun Studio,10,2018-04,Ona,78.0,AniList
1369,Record of Ragnarok II,"Action, Drama, Fantasy, Supernatural",Graphinica,10,2023-01,Ona,75.0,AniList
1370,Naruto Shippuden the Movie: Bonds,"Action, Supernatural",Studio Pierrot,1,2008-08,Movie,69.0,AniList
1371,Kenichi: The Mightiest Disciple,"Action, Comedy",TV Tokyo,50,2006-10,Tv,77.0,AniList
1372,ef ~ A Tale of Memories,"Drama, Mystery, Psychological, Romance",Shaft,12,2007-10,Tv,75.0,AniList
1373,Golden Kamuy Season 3,"Action, Adventure, Comedy",Geno Studio,12,2020-10,Tv,83.0,AniList
1374,RE-MAIN,"Drama, Sports",MAPPA,12,2021-07,Tv,69.0,AniList
1375,The Legendary Hero is Dead!,"Action, Adventure, Comedy, Ecchi, Fantasy",LIDENFILMS,12,2023-04,Tv,63.0,AniList
1376,Rail Wars!,"Action, Ecchi, Romance",Passione,12,2014-07,Tv,59.0,AniList
1377,Rewrite,"Drama, Mystery, Romance, Slice of Life, Supernatural",8-bit,13,2016-07,Tv,62.0,AniList
1378,Strike the Blood Second,"Action, Ecchi, Fantasy, Supernatural",SILVER LINK.,8,2016-11,Ova,67.0,AniList
1379,Revue Starlight,"Action, Drama, Music, Psychological",Kinema Citrus,12,2018-07,Tv,77.0,AniList
1380,The Café Terrace and Its Goddesses,"Comedy, Ecchi, Romance",Tezuka Productions,12,2023-04,Tv,71.0,AniList
1381,Yuki Yuna is a Hero,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Slice of Life",Studio Gokumi,12,2014-10,Tv,72.0,AniList
1382,Gurren Lagann The Movie: The Lights in the Sky are Stars,"Action, Drama, Mecha, Romance, Sci-Fi",Gainax,1,2009-04,Movie,84.0,AniList
1383,I'm Standing on a Million Lives Season 2,"Action, Drama, Fantasy",Maho Film,12,2021-07,Tv,66.0,AniList
1384,Space Brothers,"Comedy, Sci-Fi, Slice of Life",Aniplex,99,2012-04,Tv,83.0,AniList
1385,Berserk: The Golden Age Arc II - The Battle for Doldrey,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",Horipro,1,2012-06,Movie,75.0,AniList
1386,Today's Menu for the Emiya Family,"Comedy, Slice of Life, Supernatural",ufotable,13,2018-01,Ona,77.0,AniList
1387,Natsume's Book of Friends Season 4,"Drama, Fantasy, Slice of Life, Supernatural",Aniplex,13,2012-01,Tv,85.0,AniList
1388,Hell’s Paradise Season 2,"Action, Adventure, Mystery, Supernatural",MAPPA,0,2026-01,Tv,0.0,AniList
1389,Natsume's Book of Friends Season 3,"Drama, Fantasy, Slice of Life, Supernatural",Aniplex,13,2011-07,Tv,84.0,AniList
1390,maboroshi,"Drama, Fantasy, Romance, Supernatural",MAPPA,1,2023-09,Movie,71.0,AniList
1391,K-ON!: Live House!,"Comedy, Music, Slice of Life",Kyoto Animation,1,2010-01,Ova,77.0,AniList
1392,No-Rin,"Comedy, Ecchi, Romance",Frontier Works,12,2014-01,Tv,64.0,AniList
1393,Classroom for Heroes,"Action, Fantasy, Slice of Life",Actas,12,2023-07,Tv,59.0,AniList
1394,Pokémon the Series: XY,"Action, Adventure, Comedy, Fantasy",TV Tokyo,93,2013-10,Tv,73.0,AniList
1395,Tiger & Bunny,"Action, Comedy, Mecha, Mystery",Sunrise,25,2011-04,Tv,77.0,AniList
1396,My Home Hero,"Action, Drama, Psychological, Thriller",Kodansha,12,2023-04,Tv,68.0,AniList
1397,Taisho Otome Fairy Tale,"Comedy, Drama, Romance, Slice of Life",SynergySP,12,2021-10,Tv,76.0,AniList
1398,Miru Tights,"Ecchi, Slice of Life",Yokohama Animation Lab,12,2019-05,Ona,61.0,AniList
1399,Kaiba,"Adventure, Mystery, Psychological, Romance, Sci-Fi",MADHOUSE,12,2008-04,Tv,79.0,AniList
1400,You are Ms. Servant,"Comedy, Romance, Slice of Life",Felix Film,12,2024-10,Tv,69.0,AniList
1401,"Science Fell in Love, So I Tried to Prove It r=1-sinθ","Comedy, Romance",Zero-G,12,2022-04,Tv,71.0,AniList
1402,I Can't Understand What My Husband is Saying 2nd Thread,"Comedy, Romance, Slice of Life",Seven,13,2015-04,Tv Short,71.0,AniList
1403,Ranma1/2 (2024),"Action, Comedy, Romance",MAPPA,12,2024-10,Tv,80.0,AniList
1404,The Irregular at Magic High School Season 3,"Action, Sci-Fi, Supernatural",Aniplex,13,2024-04,Tv,70.0,AniList
1405,Those Snow White Notes,"Drama, Music",Shin-Ei Animation,12,2021-04,Tv,73.0,AniList
1406,"Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside Season 2","Action, Adventure, Fantasy, Romance, Slice of Life",Studio Flad,12,2024-01,Tv,68.0,AniList
1407,Real Girl 2,"Comedy, Drama, Romance, Slice of Life",Hoods Entertainment,12,2019-01,Tv,74.0,AniList
1408,Dragonar Academy,"Comedy, Ecchi, Fantasy",C-Station,12,2014-04,Tv,60.0,AniList
1409,Knights of Sidonia,"Action, Fantasy, Mecha, Sci-Fi",POLYGON PICTURES,12,2014-04,Tv,73.0,AniList
1410,Granblue Fantasy: The Animation,"Adventure, Fantasy",A-1 Pictures,13,2017-04,Tv,64.0,AniList
1411,Bottom-Tier Character Tomozaki 2nd Stage,"Comedy, Drama, Romance, Slice of Life",Happinet Phantom Studios,13,2024-01,Tv,70.0,AniList
1412,YuruYuri Season 2,"Comedy, Slice of Life",Doga Kobo,12,2012-07,Tv,77.0,AniList
1413,High School DxD: Fantasy Jiggles Unleashed,"Comedy, Ecchi, Romance",Genco,6,2012-03,Special,68.0,AniList
1414,Are You Lost?,"Adventure, Comedy, Ecchi",Ezo’la,12,2019-07,Tv Short,63.0,AniList
1415,2.43: Seiin High School Boys Volleyball Team,"Drama, Slice of Life, Sports",David Production,12,2021-01,Tv,59.0,AniList
1416,The Foolish Angel Dances with the Devil,"Comedy, Romance, Supernatural",KADOKAWA,12,2024-01,Tv,67.0,AniList
1417,Canaan,"Action, Sci-Fi, Supernatural",Lantis,13,2009-07,Tv,68.0,AniList
1418,Occultic;Nine,"Mystery, Sci-Fi, Supernatural, Thriller",A-1 Pictures,12,2016-10,Tv,65.0,AniList
1419,HIGH CARD,"Action, Fantasy",TMS Entertainment,12,2023-01,Tv,71.0,AniList
1420,No Game No Life Specials,"Comedy, Ecchi, Fantasy",MADHOUSE,6,2014-06,Special,64.0,AniList
1421,Kakegurui Twin,"Drama, Mystery, Psychological",MAPPA,6,2022-08,Ona,71.0,AniList
1422,Oreimo (ONA),"Comedy, Romance, Slice of Life",Aniplex,4,2011-02,Ona,70.0,AniList
1423,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,"Comedy, Fantasy, Slice of Life",EMT Squared,12,2021-07,Tv,61.0,AniList
1424,Fairy gone,"Action, Adventure, Drama, Fantasy, Supernatural",P.A.WORKS,12,2019-04,Tv,52.0,AniList
1425,SUPER HXEROS,"Action, Comedy, Ecchi, Romance, Supernatural",project No.9,12,2020-07,Tv,54.0,AniList
1426,Sunday Without God,"Adventure, Drama, Fantasy, Mystery, Psychological, Supernatural",MADHOUSE,12,2013-06,Tv,69.0,AniList
1427,Otherside Picnic,"Adventure, Fantasy, Mystery, Sci-Fi, Supernatural",LIDENFILMS,12,2021-01,Tv,63.0,AniList
1428,Loner Life in Another World,"Action, Adventure, Fantasy",Pony Canyon,12,2024-09,Ona,65.0,AniList
1429,DEMON LORD 2099,"Action, Comedy, Drama, Fantasy, Sci-Fi",Aniplex,12,2024-10,Tv,74.0,AniList
1430,Sousou no Frieren 2nd Season,"Adventure, Drama, Fantasy",Toho,0,2026-01,Tv,0.0,AniList
1431,My Happy Marriage Season 2,"Drama, Romance, Supernatural",KADOKAWA,13,2025-01,Tv,75.0,AniList
1432,Let This Grieving Soul Retire,"Action, Comedy, Fantasy",Avex Pictures,13,2024-09,Tv,69.0,AniList
1433,From Old Country Bumpkin to Master Swordsman,"Action, Adventure, Comedy, Fantasy",NBCUniversal Entertainment Japan,12,2025-04,Tv,68.0,AniList
1434,Pokémon the Series: Ruby and Sapphire,"Action, Adventure, Comedy, Fantasy",TV Tokyo,192,2002-11,Tv,69.0,AniList
1435,The Strongest Magician in the Demon Lord's Army was a Human,"Action, Adventure, Drama, Fantasy",studio A-CAT,12,2024-06,Tv,63.0,AniList
1436,Kabaneri of the Iron Fortress: The Battle of Unato,"Action, Drama, Fantasy, Horror, Supernatural",WIT STUDIO,1,2019-05,Movie,75.0,AniList
1437,Initial D 3rd Stage,"Action, Drama, Romance, Sports",OB Planning,1,2001-01,Movie,78.0,AniList
1438,Honey Lemon Soda,Romance,J.C.STAFF,12,2025-01,Tv,71.0,AniList
1439,Gatchaman Crowds,"Action, Adventure, Sci-Fi",Tatsunoko Production,12,2013-07,Tv,70.0,AniList
1440,Why Does Nobody Remember Me in This World?,"Action, Adventure, Fantasy, Sci-Fi",project No.9,12,2024-07,Tv,62.0,AniList
1441,Tawawa on Monday,"Ecchi, Slice of Life",PINE JAM,12,2016-10,Ona,61.0,AniList
1442,Kanokon: The Girl Who Cried Fox,"Comedy, Ecchi, Romance, Supernatural",Xebec,12,2008-04,Tv,57.0,AniList
1443,Sound of the Sky,"Music, Sci-Fi, Slice of Life",Aniplex,12,2010-01,Tv,74.0,AniList
1444,Samurai X: Trust and Betrayal,"Action, Drama, Romance",Studio DEEN,4,1999-02,Ova,85.0,AniList
1445,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,"Adventure, Comedy, Fantasy, Slice of Life",studio A-CAT,12,2022-10,Tv,57.0,AniList
1446,Joker Game,"Action, Drama, Mystery, Psychological, Thriller",Production I.G,12,2016-04,Tv,66.0,AniList
1447,Killing Bites,"Action, Ecchi, Horror, Sci-Fi",LIDENFILMS,12,2018-01,Tv,62.0,AniList
1448,Ushio and Tora (TV),"Action, Adventure, Comedy, Drama, Supernatural",MAPPA,26,2015-07,Tv,73.0,AniList
1449,Do It Yourself!!,Slice of Life,PINE JAM,12,2022-10,Tv,74.0,AniList
1450,Sakura Quest,"Comedy, Slice of Life",P.A.WORKS,25,2017-04,Tv,73.0,AniList
1451,SKET Dance,"Comedy, Drama, Slice of Life",TV Tokyo,77,2011-04,Tv,78.0,AniList
1452,Fairy Tail: Dragon Cry,"Action, Comedy, Fantasy",A-1 Pictures,1,2017-05,Movie,73.0,AniList
1453,"To Me, The One Who Loved You","Romance, Sci-Fi",TMS Entertainment,1,2022-10,Movie,73.0,AniList
1454,Ocean Waves,"Drama, Romance, Slice of Life",J.C.STAFF,1,1993-05,Special,63.0,AniList
1455,Yakuza Fiancé: Raise wa Tanin ga Ii,"Comedy, Drama, Romance",Studio DEEN,12,2024-10,Tv,71.0,AniList
1456,Gunbuster,"Action, Drama, Mecha, Sci-Fi",Gainax,6,1988-10,Ova,77.0,AniList
1457,Initial D 4th Stage,"Action, Drama, Sports",OB Planning,24,2004-04,Tv,80.0,AniList
1458,Super Cub,Slice of Life,Studio KAI,12,2021-04,Tv,72.0,AniList
1459,Please tell me! Galko-chan,"Comedy, Slice of Life",feel.,12,2016-01,Tv Short,67.0,AniList
1460,THE NEW GATE,"Action, Adventure, Fantasy",CLOUDHEARTS,12,2024-04,Tv,63.0,AniList
1461,Symphogear,"Action, Drama, Mahou Shoujo, Music, Sci-Fi",Satelight,13,2012-01,Tv,68.0,AniList
1462,Metallic Rouge,"Action, Mystery, Sci-Fi",bones,13,2024-01,Tv,59.0,AniList
1463,FLCL Progressive,"Action, Comedy, Mecha, Sci-Fi",Production I.G,6,2018-06,Tv,61.0,AniList
1464,Hitorijime My Hero,"Romance, Slice of Life",Encourage Films,12,2017-07,Tv,70.0,AniList
1465,Magical Girl Raising Project,"Action, Fantasy, Horror, Mahou Shoujo, Psychological, Thriller",Lerche,12,2016-10,Tv,66.0,AniList
1466,KOWLOON GENERIC ROMANCE,"Drama, Mystery, Romance, Sci-Fi, Slice of Life",Arvo Animation,13,2025-04,Tv,73.0,AniList
1467,Black Butler: Book of Murder,"Comedy, Fantasy, Mystery, Supernatural",A-1 Pictures,2,2014-10,Ova,78.0,AniList
1468,Naruto Shippuden the Movie: The Will of Fire,"Action, Comedy",Studio Pierrot,1,2009-08,Movie,70.0,AniList
1469,A Condition Called Love,"Drama, Romance",East Fish Studio,12,2024-04,Tv,66.0,AniList
1470,Yu-Gi-Oh! GX,"Action, Comedy, Fantasy",Toei Animation,180,2004-10,Tv,70.0,AniList
1471,Bokurano,"Drama, Mecha, Psychological, Sci-Fi",GONZO,24,2007-04,Tv,73.0,AniList
1472,BARTENDER Glass of God,"Drama, Slice of Life",Liber,12,2024-04,Tv,73.0,AniList
1473,Another: The Other,"Horror, Mystery, Thriller",P.A.WORKS,1,2012-05,Ova,68.0,AniList
1474,Dragon Ball Super: SUPER HERO,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,1,2022-06,Movie,76.0,AniList
1475,MARS RED,"Action, Drama, Sci-Fi, Supernatural",Signal.MD,13,2021-04,Tv,63.0,AniList
1476,SHUFFLE!,"Comedy, Drama, Ecchi, Fantasy, Romance",Xebec,24,2005-07,Tv,65.0,AniList
1477,Kakuriyo -Bed & Breakfast for Spirits-,"Drama, Romance, Supernatural",GONZO,26,2018-04,Tv,74.0,AniList
1478,Nyan Koi!,"Comedy, Romance, Slice of Life, Supernatural",AIC,12,2009-10,Tv,67.0,AniList
1479,YU-NO: A Girl Who Chants Love at the Bound of This World,"Action, Adventure, Drama, Sci-Fi",feel.,26,2019-04,Tv,61.0,AniList
1480,Izetta: The Last Witch,"Action, Drama",Ajiado,12,2016-10,Tv,65.0,AniList
1481,Vampire Hunter D: Bloodlust,"Action, Adventure, Drama, Fantasy, Horror, Romance, Sci-Fi",MADHOUSE,1,2000-08,Movie,78.0,AniList
1482,The Vexations of a Shut-In Vampire Princess,"Action, Comedy, Fantasy",project No.9,12,2023-10,Tv,70.0,AniList
1483,Ladies Versus Butlers,"Comedy, Ecchi, Romance",Xebec,12,2010-01,Tv,61.0,AniList
1484,Sugar Apple Fairy Tale,"Adventure, Fantasy, Romance",J.C.STAFF,12,2023-01,Tv,73.0,AniList
1485,Bleach the Movie: Memories of Nobody,"Action, Adventure, Drama, Supernatural",Studio Pierrot,1,2006-12,Movie,70.0,AniList
1486,Her Blue Sky,"Drama, Music, Romance, Slice of Life, Supernatural",CloverWorks,1,2019-10,Movie,73.0,AniList
1487,KONOHANA KITAN,"Slice of Life, Supernatural",Lerche,12,2017-10,Tv,72.0,AniList
1488,Only Yesterday,"Drama, Romance, Slice of Life",Studio Ghibli,1,1991-07,Movie,73.0,AniList
1489,Aoharu x Machinegun,"Action, Comedy, Slice of Life, Sports",Brain's Base,12,2015-07,Tv,66.0,AniList
1490,Naruto the Movie: Legend of the Stone of Gelel,"Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Pierrot,1,2005-08,Movie,65.0,AniList
1491,My Unique Skill Makes Me OP even at Level 1,"Adventure, Fantasy",Maho Film,12,2023-07,Tv,61.0,AniList
1492,If Her Flag Breaks,"Comedy, Romance",Hoods Entertainment,13,2014-04,Tv,59.0,AniList
1493,Fruits Basket -prelude-,"Drama, Romance",TMS Entertainment,1,2022-02,Movie,83.0,AniList
1494,Miss Caretaker of Sunohara-sou,"Comedy, Ecchi, Slice of Life",SILVER LINK.,12,2018-07,Tv,64.0,AniList
1495,Castle Town Dandelion,"Comedy, Slice of Life",Production IMS,12,2015-07,Tv,69.0,AniList
1496,Fairy Tail: Phoenix Priestess,"Action, Adventure, Comedy, Fantasy",TV Tokyo,1,2012-08,Movie,70.0,AniList
1497,My Hero Academia: Vigilantes,"Action, Adventure, Drama, Fantasy",bones film,13,2025-04,Tv,74.0,AniList
1498,Fate/kaleid liner Prisma☆Illya 2wei!,"Action, Comedy, Ecchi, Fantasy, Mahou Shoujo",SILVER LINK.,10,2014-07,Tv,70.0,AniList
1499,Princess Tutu,"Drama, Fantasy, Mahou Shoujo, Mystery, Psychological, Romance",Hal Film Maker,38,2002-08,Tv,81.0,AniList
1500,Pokémon the Movie 2000,"Action, Adventure, Drama, Fantasy",OLM,1,1999-07,Movie,71.0,AniList
1501,Pupa,"Drama, Fantasy, Horror, Psychological",Studio DEEN,12,2014-01,Tv Short,27.0,AniList
1502,NAKAIMO - My Little Sister Is Among Them!,"Comedy, Ecchi, Romance",Lantis,12,2012-07,Tv,60.0,AniList
1503,The Maid I Hired Recently is Mysterious,"Comedy, Romance, Slice of Life",BLADE,11,2022-07,Tv,63.0,AniList
1504,Full Metal Panic? Fumoffu,"Action, Comedy, Romance",Kyoto Animation,12,2003-08,Tv,77.0,AniList
1505,Netsuzou Trap -NTR-,"Drama, Ecchi, Romance",Creators in Pack,12,2017-07,Tv Short,48.0,AniList
1506,Chaika -The Coffin Princess- AVENGING BATTLE,"Action, Adventure, Comedy, Fantasy",bones,10,2014-10,Tv,69.0,AniList
1507,Darker than Black: Origins,"Action, Mystery, Psychological, Sci-Fi",bones,4,2010-01,Special,76.0,AniList
1508,Chihayafuru 3,"Drama, Romance, Slice of Life, Sports",MADHOUSE,24,2019-10,Tv,85.0,AniList
1509,APPARE-RANMAN!,"Action, Adventure, Comedy",P.A.WORKS,13,2020-04,Tv,70.0,AniList
1510,MM!,"Comedy, Ecchi",Xebec,12,2010-10,Tv,65.0,AniList
1511,The Ones Within,"Adventure, Comedy, Drama, Mystery, Sci-Fi",SILVER LINK.,12,2019-07,Tv,66.0,AniList
1512,When They Cry Rei,"Comedy, Mystery, Psychological, Supernatural, Thriller",Studio DEEN,5,2009-02,Ova,71.0,AniList
1513,The Idol Master,"Comedy, Drama, Music, Slice of Life",Aniplex,25,2011-07,Tv,75.0,AniList
1514,Terra Formars,"Action, Horror, Sci-Fi",LIDENFILMS,13,2014-09,Tv,65.0,AniList
1515,Memories,"Adventure, Comedy, Drama, Horror, Mystery, Psychological, Sci-Fi",MADHOUSE,3,1995-12,Movie,75.0,AniList
1516,Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~,"Action, Comedy, Supernatural",bones,1,2019-09,Ova,76.0,AniList
1517,Space Dandy 2,"Comedy, Sci-Fi",bones,13,2014-07,Tv,81.0,AniList
1518,Grandpa and Grandma Turn Young Again,"Comedy, Fantasy, Romance, Slice of Life",KADOKAWA,11,2024-04,Tv,71.0,AniList
1519,Ga-Rei-Zero,"Action, Supernatural, Thriller",AIC Spirits,12,2008-10,Tv,73.0,AniList
1520,Kubikiri Cycle: The Blue Savant and the Nonsense User,"Drama, Mystery, Psychological, Thriller",Shaft,8,2016-10,Ova,77.0,AniList
1521,Dropkick on My Devil!,"Comedy, Slice of Life, Supernatural",Nomad,11,2018-07,Tv,67.0,AniList
1522,Youjo Senki II,"Action, Fantasy",NUT,0,Unknown,Tv,0.0,AniList
1523,"The Most Notorious ""Talker"" Runs the World's Greatest Clan","Action, Adventure, Comedy, Fantasy, Psychological",Felix Film,12,2024-10,Ona,74.0,AniList
1524,My Life as Inukai-san’s Dog,"Comedy, Ecchi, Romance, Supernatural",Quad,12,2023-01,Tv Short,46.0,AniList
1525,Dagashi Kashi 2,"Comedy, Slice of Life",Tezuka Productions,12,2018-01,Tv Short,67.0,AniList
1526,Love Hina,"Comedy, Ecchi, Romance, Slice of Life",TV Tokyo,24,2000-04,Tv,66.0,AniList
1527,Ikebukuro West Gate Park,"Drama, Mystery",Doga Kobo,12,2020-10,Tv,65.0,AniList
1528,Shakugan no Shana: Season III,"Action, Fantasy, Romance, Supernatural",J.C.STAFF,24,2011-10,Tv,72.0,AniList
1529,Skip Beat!,"Comedy, Drama, Romance",Hal Film Maker,25,2008-10,Tv,77.0,AniList
1530,Moribito: Guardian of the Spirit,"Action, Adventure, Fantasy",Production I.G,26,2007-04,Tv,79.0,AniList
